"Year","Month","MM","CDD.LGA","CDD.pop.weighted"
2010,"January",1,0,0
2010,"February",2,0,0
2010,"March",3,0,0
2010,"April",4,13,0
2010,"May",5,124,47
2010,"June",6,337,179
2010,"July",7,557,363
2010,"August",8,428,253
2010,"September",9,232,97
2010,"October",10,21,5
2010,"November",11,0,0
2010,"December",12,0,0
2009,"January",1,0,0
2009,"February",2,0,0
2009,"March",3,0,0
2009,"April",4,31,0
2009,"May",5,51,17
2009,"June",6,131,65
2009,"July",7,301,165
2009,"August",8,403,250
2009,"September",9,117,43
2009,"October",10,7,0
2009,"November",11,0,0
2009,"December",12,0,0
2008,"January",1,0,0
2008,"February",2,0,0
2008,"March",3,0,0
2008,"April",4,5,0
2008,"May",5,30,5
2008,"June",6,325,178
2008,"July",7,470,280
2008,"August",8,318,158
2008,"September",9,184,77
2008,"October",10,14,0
2008,"November",11,0,0
2008,"December",12,0,0
2007,"January",1,0,0
2007,"February",2,0,0
2007,"March",3,0,0
2007,"April",4,10,0
2007,"May",5,129,37
2007,"June",6,276,145
2007,"July",7,401,209
2007,"August",8,385,216
2007,"September",9,251,91
2007,"October",10,114,30
2007,"November",11,0,0
2007,"December",12,0,0
2006,"January",1,0,0
2006,"February",2,0,0
2006,"March",3,0,0
2006,"April",4,6,0
2006,"May",5,67,20
2006,"June",6,267,120
2006,"July",7,492,315
2006,"August",8,414,233
2006,"September",9,137,46
2006,"October",10,31,3
2006,"November",11,0,0
2006,"December",12,0,0
2005,"January",1,0,0
2005,"February",2,0,0
2005,"March",3,0,0
2005,"April",4,6,0
2005,"May",5,17,3
2005,"June",6,304,196
2005,"July",7,424,290
2005,"August",8,500,315
2005,"September",9,304,136
2005,"October",10,42,4
2005,"November",11,0,0
2005,"December",12,0,0
2004,"January",1,0,0
2004,"February",2,0,0
2004,"March",3,0,0
2004,"April",4,0,0
2004,"May",5,75,38
2004,"June",6,242,92
2004,"July",7,343,199
2004,"August",8,326,179
2004,"September",9,186,86
2004,"October",10,8,0
2004,"November",11,0,0
2004,"December",12,0,0
2003,"January",1,0,0
2003,"February",2,0,0
2003,"March",3,0,0
2003,"April",4,7,0
2003,"May",5,9,7
2003,"June",6,168,72
2003,"July",7,387,238
2003,"August",8,412,271
2003,"September",9,160,70
2003,"October",10,5,0
2003,"November",11,7,0
2003,"December",12,0,0
2002,"January",1,0,0
2002,"February",2,0,0
2002,"March",3,0,0
2002,"April",4,59,0
2002,"May",5,44,7
2002,"June",6,253,121
2002,"July",7,458,302
2002,"August",8,425,277
2002,"September",9,200,100
2002,"October",10,39,0
2002,"November",11,0,0
2002,"December",12,0,0
2001,"January",1,0,0
2001,"February",2,0,0
2001,"March",3,0,0
2001,"April",4,12,0
2001,"May",5,91,25
2001,"June",6,288,150
2001,"July",7,319,164
2001,"August",8,466,302
2001,"September",9,162,66
2001,"October",10,42,6
2001,"November",11,1,0
2001,"December",12,0,0
2000,"January",1,0,0
2000,"February",2,0,0
2000,"March",3,0,0
2000,"April",4,0,0
2000,"May",5,72,20
2000,"June",6,255,112
2000,"July",7,273,146
2000,"August",8,297,171
2000,"September",9,148,53
2000,"October",10,25,0
2000,"November",11,0,0
2000,"December",12,0,0
